,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0,5,9,25,2,3,10,2,8,10,2,4
1,9,25,2,3,10,2,8,10,2,4,4
2,25,2,3,10,2,8,10,2,4,4,4
3,2,3,10,2,8,10,2,4,4,4,4
4,3,10,2,8,10,2,4,4,4,4,1
5,10,2,8,10,2,4,4,4,4,1,2
6,2,8,10,2,4,4,4,4,1,2,1
7,8,10,2,4,4,4,4,1,2,1,6
8,10,2,4,4,4,4,1,2,1,6,2
9,2,4,4,4,4,1,2,1,6,2,3
10,4,4,4,4,1,2,1,6,2,3,5
11,12,41,20,3,11,8,4,9,9,3,11
12,41,20,3,11,8,4,9,9,3,11,15
13,20,3,11,8,4,9,9,3,11,15,4
14,3,11,8,4,9,9,3,11,15,4,16
15,11,8,4,9,9,3,11,15,4,16,3
16,8,4,9,9,3,11,15,4,16,3,19
17,4,9,9,3,11,15,4,16,3,19,21
18,9,9,3,11,15,4,16,3,19,21,1
19,9,3,11,15,4,16,3,19,21,1,12
20,3,11,15,4,16,3,19,21,1,12,19
21,3,19,14,1,21,46,42,2,3,3,26
22,19,14,1,21,46,42,2,3,3,26,18
23,14,1,21,46,42,2,3,3,26,18,22
24,1,21,46,42,2,3,3,26,18,22,3
25,21,46,42,2,3,3,26,18,22,3,9
26,46,42,2,3,3,26,18,22,3,9,5
27,42,2,3,3,26,18,22,3,9,5,1
28,2,3,3,26,18,22,3,9,5,1,24
29,3,3,26,18,22,3,9,5,1,24,20
30,3,26,18,22,3,9,5,1,24,20,10
31,26,18,22,3,9,5,1,24,20,10,3
32,4,1,1,1,7,2,1,2,2,8,24
33,1,1,1,7,2,1,2,2,8,24,1
34,1,1,7,2,1,2,2,8,24,1,2
35,1,7,2,1,2,2,8,24,1,2,4
36,7,2,1,2,2,8,24,1,2,4,8
37,2,1,2,2,8,24,1,2,4,8,14
38,1,2,2,8,24,1,2,4,8,14,12
39,2,2,8,24,1,2,4,8,14,12,7
40,2,8,24,1,2,4,8,14,12,7,2
41,8,24,1,2,4,8,14,12,7,2,6
42,7,5,2,21,28,12,4,1,8,13,21
43,5,2,21,28,12,4,1,8,13,21,32
44,2,21,28,12,4,1,8,13,21,32,3
45,2,32,10,18,1,16,2,26,6,8,30
46,32,10,18,1,16,2,26,6,8,30,43
47,1,1,3,1,5,5,5,4,2,2,1
48,1,3,1,5,5,5,4,2,2,1,1
49,3,1,5,5,5,4,2,2,1,1,5
50,1,5,5,5,4,2,2,1,1,5,4
51,2,1,1,5,14,2,10,2,8,2,6
52,1,1,5,14,2,10,2,8,2,6,2
53,1,9,1,1,3,11,3,2,8,1,1
54,9,1,1,3,11,3,2,8,1,1,2
55,1,1,3,11,3,2,8,1,1,2,-1
56,1,3,11,3,2,8,1,1,2,-1,7
57,3,11,3,2,8,1,1,2,-1,7,1
58,11,3,2,8,1,1,2,-1,7,1,3
59,3,2,8,1,1,2,-1,7,1,3,7
60,2,8,1,1,2,-1,7,1,3,7,1
61,9,23,5,13,28,34,37,28,13,16,7
62,23,5,13,28,34,37,28,13,16,7,21
63,5,13,28,34,37,28,13,16,7,21,1
64,13,28,34,37,28,13,16,7,21,1,42
65,28,34,37,28,13,16,7,21,1,42,13
66,34,37,28,13,16,7,21,1,42,13,2
67,37,28,13,16,7,21,1,42,13,2,43
68,28,13,16,7,21,1,42,13,2,43,30
69,13,16,7,21,1,42,13,2,43,30,12
70,16,7,21,1,42,13,2,43,30,12,31
71,7,21,1,42,13,2,43,30,12,31,6
72,21,1,42,13,2,43,30,12,31,6,4
73,1,42,13,2,43,30,12,31,6,4,17
74,42,13,2,43,30,12,31,6,4,17,9
75,13,2,43,30,12,31,6,4,17,9,19
76,2,43,30,12,31,6,4,17,9,19,6
77,4,3,10,1,2,1,6,1,1,8,7
78,3,10,1,2,1,6,1,1,8,7,3
79,10,1,2,1,6,1,1,8,7,3,2
80,22,1,1,12,2,35,36,24,8,10,10
81,1,1,12,2,35,36,24,8,10,10,19
82,1,12,2,35,36,24,8,10,10,19,10
83,12,2,35,36,24,8,10,10,19,10,19
84,2,35,36,24,8,10,10,19,10,19,17
85,35,36,24,8,10,10,19,10,19,17,14
86,36,24,8,10,10,19,10,19,17,14,4
87,24,8,10,10,19,10,19,17,14,4,4
88,8,10,10,19,10,19,17,14,4,4,9
89,10,10,19,10,19,17,14,4,4,9,39
90,3,20,20,6,38,40,60,27,27,5,26
91,20,20,6,38,40,60,27,27,5,26,12
92,20,6,38,40,60,27,27,5,26,12,1
93,6,38,40,60,27,27,5,26,12,1,60
94,38,40,60,27,27,5,26,12,1,60,5
95,40,60,27,27,5,26,12,1,60,5,56
96,6,1,3,2,6,2,1,3,14,2,1
97,29,7,2,11,6,9,4,7,20,26,6
98,7,2,11,6,9,4,7,20,26,6,15
99,2,11,6,9,4,7,20,26,6,15,13
100,5,4,10,11,18,8,7,9,34,5,17
101,4,10,11,18,8,7,9,34,5,17,11
102,10,11,18,8,7,9,34,5,17,11,23
103,11,18,8,7,9,34,5,17,11,23,27
104,18,8,7,9,34,5,17,11,23,27,7
105,8,7,9,34,5,17,11,23,27,7,10
106,7,9,34,5,17,11,23,27,7,10,3
107,9,34,5,17,11,23,27,7,10,3,28
108,34,5,17,11,23,27,7,10,3,28,23
109,5,17,11,23,27,7,10,3,28,23,27
110,17,11,23,27,7,10,3,28,23,27,14
111,11,23,27,7,10,3,28,23,27,14,18
112,23,27,7,10,3,28,23,27,14,18,16
113,27,7,10,3,28,23,27,14,18,16,5
114,24,21,13,2,9,14,22,7,6,29,5
115,21,13,2,9,14,22,7,6,29,5,16
116,13,2,9,14,22,7,6,29,5,16,25
117,2,9,14,22,7,6,29,5,16,25,14
118,9,14,22,7,6,29,5,16,25,14,1
119,14,22,7,6,29,5,16,25,14,1,44
120,22,7,6,29,5,16,25,14,1,44,18
121,7,6,29,5,16,25,14,1,44,18,24
122,6,29,5,16,25,14,1,44,18,24,13
123,29,5,16,25,14,1,44,18,24,13,13
124,5,16,25,14,1,44,18,24,13,13,2
125,16,25,14,1,44,18,24,13,13,2,0
126,25,14,1,44,18,24,13,13,2,0,28
127,14,1,44,18,24,13,13,2,0,28,4
128,1,44,18,24,13,13,2,0,28,4,24
129,44,18,24,13,13,2,0,28,4,24,9
130,18,24,13,13,2,0,28,4,24,9,10
131,24,13,13,2,0,28,4,24,9,10,22
132,13,13,2,0,28,4,24,9,10,22,14
133,13,2,0,28,4,24,9,10,22,14,7
134,2,0,28,4,24,9,10,22,14,7,56
135,0,28,4,24,9,10,22,14,7,56,14
136,28,4,24,9,10,22,14,7,56,14,14
137,4,24,9,10,22,14,7,56,14,14,2
138,24,9,10,22,14,7,56,14,14,2,19
139,9,10,22,14,7,56,14,14,2,19,51
140,10,22,14,7,56,14,14,2,19,51,9
141,22,14,7,56,14,14,2,19,51,9,29
142,14,7,56,14,14,2,19,51,9,29,48
143,6,22,22,1,15,11,6,1,2,4,3
144,22,22,1,15,11,6,1,2,4,3,2
145,22,1,15,11,6,1,2,4,3,2,18
146,1,15,11,6,1,2,4,3,2,18,6
147,15,11,6,1,2,4,3,2,18,6,5
148,11,6,1,2,4,3,2,18,6,5,9
149,6,1,2,4,3,2,18,6,5,9,15
150,1,2,4,3,2,18,6,5,9,15,20
151,2,4,3,2,18,6,5,9,15,20,13
152,4,3,2,18,6,5,9,15,20,13,1
153,3,2,18,6,5,9,15,20,13,1,2
154,2,18,6,5,9,15,20,13,1,2,3
155,1,9,8,7,9,9,4,2,3,10,6
156,9,8,7,9,9,4,2,3,10,6,4
157,8,7,9,9,4,2,3,10,6,4,1
158,7,9,9,4,2,3,10,6,4,1,1
159,9,9,4,2,3,10,6,4,1,1,3
160,9,4,2,3,10,6,4,1,1,3,3
161,4,2,3,10,6,4,1,1,3,3,1
162,2,3,10,6,4,1,1,3,3,1,3
163,3,10,6,4,1,1,3,3,1,3,5
164,10,6,4,1,1,3,3,1,3,5,1
165,22,13,3,4,10,7,3,34,2,8,7
166,13,3,4,10,7,3,34,2,8,7,8
167,3,4,10,7,3,34,2,8,7,8,9
168,4,10,7,3,34,2,8,7,8,9,2
169,10,7,3,34,2,8,7,8,9,2,18
170,7,3,34,2,8,7,8,9,2,18,32
171,3,34,2,8,7,8,9,2,18,32,16
172,34,2,8,7,8,9,2,18,32,16,5
173,2,8,7,8,9,2,18,32,16,5,13
174,8,7,8,9,2,18,32,16,5,13,2
175,7,8,9,2,18,32,16,5,13,2,1
176,8,9,2,18,32,16,5,13,2,1,18
177,9,2,18,32,16,5,13,2,1,18,28
178,2,18,32,16,5,13,2,1,18,28,8
179,18,32,16,5,13,2,1,18,28,8,28
180,32,16,5,13,2,1,18,28,8,28,2
181,16,5,13,2,1,18,28,8,28,2,3
182,5,13,2,1,18,28,8,28,2,3,6
183,13,2,1,18,28,8,28,2,3,6,6
184,2,1,18,28,8,28,2,3,6,6,9
185,1,18,28,8,28,2,3,6,6,9,12
186,18,28,8,28,2,3,6,6,9,12,12
187,28,8,28,2,3,6,6,9,12,12,4
188,8,28,2,3,6,6,9,12,12,4,8
189,28,2,3,6,6,9,12,12,4,8,12
190,2,3,6,6,9,12,12,4,8,12,24
191,3,6,6,9,12,12,4,8,12,24,31
192,6,6,9,12,12,4,8,12,24,31,20
193,6,9,12,12,4,8,12,24,31,20,36
194,9,12,12,4,8,12,24,31,20,36,17
195,12,12,4,8,12,24,31,20,36,17,17
196,12,4,8,12,24,31,20,36,17,17,2
197,4,8,12,24,31,20,36,17,17,2,35
198,8,12,24,31,20,36,17,17,2,35,27
199,12,24,31,20,36,17,17,2,35,27,2
200,24,31,20,36,17,17,2,35,27,2,57
201,31,20,36,17,17,2,35,27,2,57,17
202,20,36,17,17,2,35,27,2,57,17,8
203,36,17,17,2,35,27,2,57,17,8,6
204,17,17,2,35,27,2,57,17,8,6,17
205,17,2,35,27,2,57,17,8,6,17,8
206,2,35,27,2,57,17,8,6,17,8,20
207,3,14,9,2,8,4,2,2,1,9,20
208,14,9,2,8,4,2,2,1,9,20,5
209,9,2,8,4,2,2,1,9,20,5,13
210,2,8,4,2,2,1,9,20,5,13,1
211,8,4,2,2,1,9,20,5,13,1,8
212,4,2,2,1,9,20,5,13,1,8,29
213,2,2,1,9,20,5,13,1,8,29,5
214,2,1,9,20,5,13,1,8,29,5,8
215,1,9,20,5,13,1,8,29,5,8,15
216,9,20,5,13,1,8,29,5,8,15,2
217,20,5,13,1,8,29,5,8,15,2,9
218,5,13,1,8,29,5,8,15,2,9,9
219,13,1,8,29,5,8,15,2,9,9,3
220,1,8,29,5,8,15,2,9,9,3,7
221,8,29,5,8,15,2,9,9,3,7,9
222,29,5,8,15,2,9,9,3,7,9,1
223,5,8,15,2,9,9,3,7,9,1,12
224,7,2,4,8,1,1,2,2,9,4,12
225,2,4,8,1,1,2,2,9,4,12,3
226,4,8,1,1,2,2,9,4,12,3,1
227,8,1,1,2,2,9,4,12,3,1,3
228,1,1,2,2,9,4,12,3,1,3,-1
229,1,2,2,9,4,12,3,1,3,-1,21
230,2,2,9,4,12,3,1,3,-1,21,6
231,1,3,7,5,2,1,6,8,3,1,7
232,3,7,5,2,1,6,8,3,1,7,1
233,7,5,2,1,6,8,3,1,7,1,5
234,5,2,1,6,8,3,1,7,1,5,8
235,2,1,6,8,3,1,7,1,5,8,4
236,1,6,8,3,1,7,1,5,8,4,5
237,6,8,3,1,7,1,5,8,4,5,3
238,8,3,1,7,1,5,8,4,5,3,2
239,3,1,7,1,5,8,4,5,3,2,8
240,1,7,1,5,8,4,5,3,2,8,3
241,36,25,29,17,36,6,3,2,22,34,7
242,25,29,17,36,6,3,2,22,34,7,11
243,29,17,36,6,3,2,22,34,7,11,3
244,17,36,6,3,2,22,34,7,11,3,21
245,36,6,3,2,22,34,7,11,3,21,25
246,6,3,2,22,34,7,11,3,21,25,26
247,3,2,22,34,7,11,3,21,25,26,31
248,2,22,34,7,11,3,21,25,26,31,35
249,22,34,7,11,3,21,25,26,31,35,27
250,34,7,11,3,21,25,26,31,35,27,11
251,7,11,3,21,25,26,31,35,27,11,22
252,11,3,21,25,26,31,35,27,11,22,2
253,3,21,25,26,31,35,27,11,22,2,48
254,21,25,26,31,35,27,11,22,2,48,34
255,25,26,31,35,27,11,22,2,48,34,14
256,26,31,35,27,11,22,2,48,34,14,7
257,31,35,27,11,22,2,48,34,14,7,7
258,35,27,11,22,2,48,34,14,7,7,25
259,27,11,22,2,48,34,14,7,7,25,48
260,11,22,2,48,34,14,7,7,25,48,8
261,22,2,48,34,14,7,7,25,48,8,19
262,2,48,34,14,7,7,25,48,8,19,63
263,48,34,14,7,7,25,48,8,19,63,16
264,34,14,7,7,25,48,8,19,63,16,1
265,14,7,7,25,48,8,19,63,16,1,4
266,7,7,25,48,8,19,63,16,1,4,26
267,7,25,48,8,19,63,16,1,4,26,1
268,25,48,8,19,63,16,1,4,26,1,19
269,48,8,19,63,16,1,4,26,1,19,31
270,8,19,63,16,1,4,26,1,19,31,17
271,19,63,16,1,4,26,1,19,31,17,8
272,63,16,1,4,26,1,19,31,17,8,14
273,16,1,4,26,1,19,31,17,8,14,5
274,1,4,26,1,19,31,17,8,14,5,40
275,4,26,1,19,31,17,8,14,5,40,43
276,26,1,19,31,17,8,14,5,40,43,36
277,1,19,31,17,8,14,5,40,43,36,9
278,19,31,17,8,14,5,40,43,36,9,16
279,31,17,8,14,5,40,43,36,9,16,8
280,17,8,14,5,40,43,36,9,16,8,9
281,8,14,5,40,43,36,9,16,8,9,14
282,14,5,40,43,36,9,16,8,9,14,38
283,5,40,43,36,9,16,8,9,14,38,33
284,40,43,36,9,16,8,9,14,38,33,9
285,43,36,9,16,8,9,14,38,33,9,38
286,36,9,16,8,9,14,38,33,9,38,32
287,9,16,8,9,14,38,33,9,38,32,3
288,16,8,9,14,38,33,9,38,32,3,4
289,8,9,14,38,33,9,38,32,3,4,3
290,9,14,38,33,9,38,32,3,4,3,9
291,14,38,33,9,38,32,3,4,3,9,27
292,38,33,9,38,32,3,4,3,9,27,13
293,33,9,38,32,3,4,3,9,27,13,7
294,9,38,32,3,4,3,9,27,13,7,19
295,38,32,3,4,3,9,27,13,7,19,7
296,32,3,4,3,9,27,13,7,19,7,36
297,3,4,3,9,27,13,7,19,7,36,24
298,4,3,9,27,13,7,19,7,36,24,12
299,3,9,27,13,7,19,7,36,24,12,22
300,9,27,13,7,19,7,36,24,12,22,35
301,27,13,7,19,7,36,24,12,22,35,6
302,13,7,19,7,36,24,12,22,35,6,2
303,7,19,7,36,24,12,22,35,6,2,17
304,19,7,36,24,12,22,35,6,2,17,24
305,7,36,24,12,22,35,6,2,17,24,30
306,36,24,12,22,35,6,2,17,24,30,3
307,24,12,22,35,6,2,17,24,30,3,33
308,12,22,35,6,2,17,24,30,3,33,45
309,22,35,6,2,17,24,30,3,33,45,26
310,35,6,2,17,24,30,3,33,45,26,12
311,6,2,17,24,30,3,33,45,26,12,3
312,2,17,24,30,3,33,45,26,12,3,21
313,17,24,30,3,33,45,26,12,3,21,44
314,24,30,3,33,45,26,12,3,21,44,31
315,30,3,33,45,26,12,3,21,44,31,26
316,3,33,45,26,12,3,21,44,31,26,26
317,33,45,26,12,3,21,44,31,26,26,29
318,45,26,12,3,21,44,31,26,26,29,17
319,26,12,3,21,44,31,26,26,29,17,13
320,12,3,21,44,31,26,26,29,17,13,20
321,3,21,44,31,26,26,29,17,13,20,16
322,21,44,31,26,26,29,17,13,20,16,11
323,44,31,26,26,29,17,13,20,16,11,20
324,31,26,26,29,17,13,20,16,11,20,4
325,26,26,29,17,13,20,16,11,20,4,25
326,26,29,17,13,20,16,11,20,4,25,8
327,29,17,13,20,16,11,20,4,25,8,24
328,9,4,12,9,6,4,12,6,5,13,35
329,4,12,9,6,4,12,6,5,13,35,6
330,12,9,6,4,12,6,5,13,35,6,18
331,9,6,4,12,6,5,13,35,6,18,7
332,6,4,12,6,5,13,35,6,18,7,10
333,4,12,6,5,13,35,6,18,7,10,17
334,12,6,5,13,35,6,18,7,10,17,30
335,6,5,13,35,6,18,7,10,17,30,8
336,5,13,35,6,18,7,10,17,30,8,4
337,13,35,6,18,7,10,17,30,8,4,9
338,35,6,18,7,10,17,30,8,4,9,7
339,6,18,7,10,17,30,8,4,9,7,18
340,18,7,10,17,30,8,4,9,7,18,19
341,7,10,17,30,8,4,9,7,18,19,3
342,10,17,30,8,4,9,7,18,19,3,20
343,17,30,8,4,9,7,18,19,3,20,15
344,30,8,4,9,7,18,19,3,20,15,17
345,8,4,9,7,18,19,3,20,15,17,19
346,4,9,7,18,19,3,20,15,17,19,26
347,9,7,18,19,3,20,15,17,19,26,16
348,7,18,19,3,20,15,17,19,26,16,1
349,18,19,3,20,15,17,19,26,16,1,20
350,19,3,20,15,17,19,26,16,1,20,4
351,3,20,15,17,19,26,16,1,20,4,9
352,20,15,17,19,26,16,1,20,4,9,10
353,15,17,19,26,16,1,20,4,9,10,19
354,17,19,26,16,1,20,4,9,10,19,7
355,19,26,16,1,20,4,9,10,19,7,5
356,26,16,1,20,4,9,10,19,7,5,15
357,16,1,20,4,9,10,19,7,5,15,12
358,1,20,4,9,10,19,7,5,15,12,6
359,20,4,9,10,19,7,5,15,12,6,28
360,4,9,10,19,7,5,15,12,6,28,18
361,9,10,19,7,5,15,12,6,28,18,14
362,10,19,7,5,15,12,6,28,18,14,10
363,19,7,5,15,12,6,28,18,14,10,44
364,7,5,15,12,6,28,18,14,10,44,33
365,5,15,12,6,28,18,14,10,44,33,3
366,15,12,6,28,18,14,10,44,33,3,14
367,12,6,28,18,14,10,44,33,3,14,7
368,6,28,18,14,10,44,33,3,14,7,10
369,28,18,14,10,44,33,3,14,7,10,20
370,18,14,10,44,33,3,14,7,10,20,7
371,14,10,44,33,3,14,7,10,20,7,17
372,10,44,33,3,14,7,10,20,7,17,8
373,44,33,3,14,7,10,20,7,17,8,1
374,33,3,14,7,10,20,7,17,8,1,8
375,3,14,7,10,20,7,17,8,1,8,8
376,14,7,10,20,7,17,8,1,8,8,24
377,7,10,20,7,17,8,1,8,8,24,30
378,10,20,7,17,8,1,8,8,24,30,22
379,20,7,17,8,1,8,8,24,30,22,9
380,7,17,8,1,8,8,24,30,22,9,12
381,17,8,1,8,8,24,30,22,9,12,8
382,8,1,8,8,24,30,22,9,12,8,26
383,1,8,8,24,30,22,9,12,8,26,13
384,8,8,24,30,22,9,12,8,26,13,9
385,8,24,30,22,9,12,8,26,13,9,10
386,24,30,22,9,12,8,26,13,9,10,15
387,30,22,9,12,8,26,13,9,10,15,15
388,22,9,12,8,26,13,9,10,15,15,22
389,9,12,8,26,13,9,10,15,15,22,13
390,12,8,26,13,9,10,15,15,22,13,21
391,8,26,13,9,10,15,15,22,13,21,12
392,26,13,9,10,15,15,22,13,21,12,7
393,13,9,10,15,15,22,13,21,12,7,6
394,9,10,15,15,22,13,21,12,7,6,14
395,10,15,15,22,13,21,12,7,6,14,13
396,15,15,22,13,21,12,7,6,14,13,17
397,15,22,13,21,12,7,6,14,13,17,1
398,22,13,21,12,7,6,14,13,17,1,13
399,13,21,12,7,6,14,13,17,1,13,1
400,21,12,7,6,14,13,17,1,13,1,20
401,12,7,6,14,13,17,1,13,1,20,32
402,7,6,14,13,17,1,13,1,20,32,33
403,6,14,13,17,1,13,1,20,32,33,2
404,14,13,17,1,13,1,20,32,33,2,14
405,13,17,1,13,1,20,32,33,2,14,6
406,17,1,13,1,20,32,33,2,14,6,1
407,1,13,1,20,32,33,2,14,6,1,1
408,13,1,20,32,33,2,14,6,1,1,3
409,1,20,32,33,2,14,6,1,1,3,4
410,20,32,33,2,14,6,1,1,3,4,13
411,32,33,2,14,6,1,1,3,4,13,28
412,33,2,14,6,1,1,3,4,13,28,8
413,2,14,6,1,1,3,4,13,28,8,15
414,14,6,1,1,3,4,13,28,8,15,16
415,6,1,1,3,4,13,28,8,15,16,16
416,1,1,3,4,13,28,8,15,16,16,6
417,1,3,4,13,28,8,15,16,16,6,2
418,3,4,13,28,8,15,16,16,6,2,7
419,4,13,28,8,15,16,16,6,2,7,11
420,13,28,8,15,16,16,6,2,7,11,11
421,28,8,15,16,16,6,2,7,11,11,2
422,8,15,16,16,6,2,7,11,11,2,11
423,15,16,16,6,2,7,11,11,2,11,12
424,16,16,6,2,7,11,11,2,11,12,19
425,16,6,2,7,11,11,2,11,12,19,11
426,6,2,7,11,11,2,11,12,19,11,5
427,2,7,11,11,2,11,12,19,11,5,6
428,7,11,11,2,11,12,19,11,5,6,2
429,11,11,2,11,12,19,11,5,6,2,12
430,11,2,11,12,19,11,5,6,2,12,8
431,2,11,12,19,11,5,6,2,12,8,13
432,11,12,19,11,5,6,2,12,8,13,12
433,12,19,11,5,6,2,12,8,13,12,18
434,19,11,5,6,2,12,8,13,12,18,5
435,11,5,6,2,12,8,13,12,18,5,2
436,5,6,2,12,8,13,12,18,5,2,20
437,6,2,12,8,13,12,18,5,2,20,5
438,2,12,8,13,12,18,5,2,20,5,5
439,12,8,13,12,18,5,2,20,5,5,35
440,8,13,12,18,5,2,20,5,5,35,6
441,13,12,18,5,2,20,5,5,35,6,10
442,12,18,5,2,20,5,5,35,6,10,30
443,18,5,2,20,5,5,35,6,10,30,11
444,5,2,20,5,5,35,6,10,30,11,17
445,2,20,5,5,35,6,10,30,11,17,7
446,20,5,5,35,6,10,30,11,17,7,22
447,5,5,35,6,10,30,11,17,7,22,15
448,5,35,6,10,30,11,17,7,22,15,3
449,35,6,10,30,11,17,7,22,15,3,15
450,6,10,30,11,17,7,22,15,3,15,8
451,10,30,11,17,7,22,15,3,15,8,15
452,30,11,17,7,22,15,3,15,8,15,5
453,11,17,7,22,15,3,15,8,15,5,2
454,17,7,22,15,3,15,8,15,5,2,1
455,7,22,15,3,15,8,15,5,2,1,29
456,22,15,3,15,8,15,5,2,1,29,10
457,15,3,15,8,15,5,2,1,29,10,11
458,3,15,8,15,5,2,1,29,10,11,22
459,15,8,15,5,2,1,29,10,11,22,25
