,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0,9,13,17,2,4,13,1,15,3,1,6
1,13,17,2,4,13,1,15,3,1,6,4
2,17,2,4,13,1,15,3,1,6,4,1
3,2,4,13,1,15,3,1,6,4,1,5
4,4,13,1,15,3,1,6,4,1,5,1
5,13,1,15,3,1,6,4,1,5,1,2
6,1,15,3,1,6,4,1,5,1,2,0
7,15,3,1,6,4,1,5,1,2,0,15
8,3,1,6,4,1,5,1,2,0,15,0
9,1,6,4,1,5,1,2,0,15,0,2
10,6,4,1,5,1,2,0,15,0,2,3
11,19,60,18,7,15,8,10,7,6,0,6
12,60,18,7,15,8,10,7,6,0,6,23
13,18,7,15,8,10,7,6,0,6,23,10
14,7,15,8,10,7,6,0,6,23,10,7
15,15,8,10,7,6,0,6,23,10,7,0
16,8,10,7,6,0,6,23,10,7,0,23
17,10,7,6,0,6,23,10,7,0,23,29
18,7,6,0,6,23,10,7,0,23,29,1
19,6,0,6,23,10,7,0,23,29,1,17
20,0,6,23,10,7,0,23,29,1,17,29
21,3,10,10,0,18,43,52,1,0,0,35
22,10,10,0,18,43,52,1,0,0,35,23
23,10,0,18,43,52,1,0,0,35,23,24
24,0,18,43,52,1,0,0,35,23,24,1
25,18,43,52,1,0,0,35,23,24,1,12
26,43,52,1,0,0,35,23,24,1,12,5
27,52,1,0,0,35,23,24,1,12,5,0
28,1,0,0,35,23,24,1,12,5,0,20
29,0,0,35,23,24,1,12,5,0,20,22
30,0,35,23,24,1,12,5,0,20,22,8
31,35,23,24,1,12,5,0,20,22,8,6
32,4,0,0,1,8,0,0,3,0,0,25
33,0,0,1,8,0,0,3,0,0,25,1
34,0,1,8,0,0,3,0,0,25,1,0
35,1,8,0,0,3,0,0,25,1,0,2
36,8,0,0,3,0,0,25,1,0,2,12
37,0,0,3,0,0,25,1,0,2,12,22
38,0,3,0,0,25,1,0,2,12,22,12
39,3,0,0,25,1,0,2,12,22,12,10
40,0,0,25,1,0,2,12,22,12,10,2
41,0,25,1,0,2,12,22,12,10,2,6
42,15,3,1,35,43,12,2,0,14,27,42
43,3,1,35,43,12,2,0,14,27,42,26
44,1,35,43,12,2,0,14,27,42,26,2
45,0,45,15,10,0,30,0,37,8,9,41
46,45,15,10,0,30,0,37,8,9,41,83
47,0,1,0,0,4,6,5,2,4,1,1
48,1,0,0,4,6,5,2,4,1,1,0
49,0,0,4,6,5,2,4,1,1,0,2
50,0,4,6,5,2,4,1,1,0,2,0
51,0,0,0,12,15,0,1,1,4,0,1
52,0,0,12,15,0,1,1,4,0,1,0
53,2,17,0,1,6,15,0,0,5,0,1
54,17,0,1,6,15,0,0,5,0,1,1
55,0,1,6,15,0,0,5,0,1,1,0
56,1,6,15,0,0,5,0,1,1,0,5
57,6,15,0,0,5,0,1,1,0,5,1
58,15,0,0,5,0,1,1,0,5,1,3
59,0,0,5,0,1,1,0,5,1,3,11
60,0,5,0,1,1,0,5,1,3,11,1
61,10,55,1,5,48,65,58,43,18,15,9
62,55,1,5,48,65,58,43,18,15,9,36
63,1,5,48,65,58,43,18,15,9,36,0
64,5,48,65,58,43,18,15,9,36,0,60
65,48,65,58,43,18,15,9,36,0,60,10
66,65,58,43,18,15,9,36,0,60,10,0
67,58,43,18,15,9,36,0,60,10,0,47
68,43,18,15,9,36,0,60,10,0,47,32
69,18,15,9,36,0,60,10,0,47,32,27
70,15,9,36,0,60,10,0,47,32,27,48
71,9,36,0,60,10,0,47,32,27,48,1
72,36,0,60,10,0,47,32,27,48,1,6
73,0,60,10,0,47,32,27,48,1,6,29
74,60,10,0,47,32,27,48,1,6,29,5
75,10,0,47,32,27,48,1,6,29,5,24
76,0,47,32,27,48,1,6,29,5,24,2
77,0,2,15,1,0,0,2,1,3,3,9
78,2,15,1,0,0,2,1,3,3,9,0
79,15,1,0,0,2,1,3,3,9,0,0
80,17,0,0,16,0,41,58,18,7,14,18
81,0,0,16,0,41,58,18,7,14,18,23
82,0,16,0,41,58,18,7,14,18,23,2
83,16,0,41,58,18,7,14,18,23,2,17
84,0,41,58,18,7,14,18,23,2,17,12
85,41,58,18,7,14,18,23,2,17,12,13
86,58,18,7,14,18,23,2,17,12,13,5
87,18,7,14,18,23,2,17,12,13,5,0
88,7,14,18,23,2,17,12,13,5,0,2
