,striker,innings 1,innings 2,innings 3,innings 4,innings 5,innings 6,innings 7,innings 8,innings 9,innings 10,score_avg,Ball_faced1,Ball_faced2,Ball_faced3,Ball_faced4,Ball_faced5,Ball_faced6,Ball_faced7,Ball_faced8,Ball_faced9,Ball_faced10,strike1,strike2,strike3,strike4,strike5,strike6,strike7,strike8,strike9,strike10
0,A Ashish Reddy,2,13,32,17,6,22,15,13,3,5,12.8,3,8,18,15,6,8,8,9,4,6,0.6666666666666666,1.625,1.7777777777777777,1.1333333333333333,1.0,2.75,1.875,1.4444444444444444,0.75,0.8333333333333334
1,A Mishra,19,6,1,8,6,1,7,13,8,9,7.8,30,3,2,11,8,2,4,9,2,14,0.6333333333333333,2.0,0.5,0.7272727272727273,0.75,0.5,1.75,1.4444444444444444,4.0,0.6428571428571429
2,AT Rayudu,19,17,4,23,12,0,9,14,1,20,11.9,8,9,7,17,11,2,9,6,2,16,2.375,1.8888888888888888,0.5714285714285714,1.3529411764705883,1.0909090909090908,0.0,1.0,2.3333333333333335,0.5,1.25
3,B Chipli,16,1,25,1,10,5,10,18,1,12,9.9,18,3,17,6,9,4,11,14,2,7,0.8888888888888888,0.3333333333333333,1.4705882352941178,0.16666666666666666,1.1111111111111112,1.25,0.9090909090909091,1.2857142857142858,0.5,1.7142857142857142
4,CL White,31,2,0,43,10,52,2,16,0,34,19.0,28,4,1,23,8,34,3,23,1,31,1.1071428571428572,0.5,0.0,1.8695652173913044,1.25,1.5294117647058822,0.6666666666666666,0.6956521739130435,0.0,1.096774193548387
5,DT Christian,9,1,1,0,1,1,1,7,6,13,4.0,8,3,4,1,3,2,3,9,11,13,1.125,0.3333333333333333,0.25,0.0,0.3333333333333333,0.5,0.3333333333333333,0.7777777777777778,0.5454545454545454,1.0
6,DW Steyn,1,1,19,1,0,1,9,12,4,0,4.8,2,2,11,1,1,2,8,16,2,1,0.5,0.5,1.7272727272727273,1.0,0.0,0.5,1.125,0.75,2.0,0.0
7,IR Jaggi,28,5,2,10,3,3,25,0,0,0,10.857142857142858,31,8,7,7,7,9,25,0,0,0,0.9032258064516129,0.625,0.2857142857142857,1.4285714285714286,0.42857142857142855,0.3333333333333333,1.0,0.0,0.0,0.0
8,JEC Franklin,13,1,1,25,13,22,79,2,7,32,19.5,13,6,9,23,20,22,51,3,4,42,1.0,0.16666666666666666,0.1111111111111111,1.0869565217391304,0.65,1.0,1.5490196078431373,0.6666666666666666,1.75,0.7619047619047619
9,JP Duminy,13,23,17,14,9,34,13,48,49,7,22.7,11,25,15,14,9,32,7,43,31,5,1.1818181818181819,0.92,1.1333333333333333,1.0,1.0,1.0625,1.8571428571428572,1.1162790697674418,1.5806451612903225,1.4
10,KD Karthik,0,0,30,11,16,22,16,7,28,0,13.0,1,2,18,9,11,18,13,5,14,1,0.0,0.0,1.6666666666666667,1.2222222222222223,1.4545454545454546,1.2222222222222223,1.2307692307692308,1.4,2.0,0.0
11,PA Patel,0,8,39,43,53,11,28,19,9,25,23.5,3,5,20,24,37,11,20,9,9,24,0.0,1.6,1.95,1.7916666666666667,1.4324324324324325,1.0,1.4,2.111111111111111,1.0,1.0416666666666667
12,RE Levi,0,1,29,3,0,50,0,0,0,0,13.833333333333334,1,4,22,9,2,35,0,0,0,0,0.0,0.25,1.3181818181818181,0.3333333333333333,0.0,1.4285714285714286,0.0,0.0,0.0,0.0
13,RG Sharma,8,11,56,37,29,7,0,0,3,2,15.3,7,10,37,25,18,8,3,3,5,8,1.1428571428571428,1.1,1.5135135135135136,1.48,1.6111111111111112,0.875,0.0,0.0,0.6,0.25
14,RJ Peterson,0,13,1,2,16,0,0,0,0,0,6.4,2,14,4,2,7,0,0,0,0,0,0.0,0.9285714285714286,0.25,1.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0
15,S Dhawan,17,0,7,57,30,28,1,8,99,86,33.3,12,1,5,47,20,15,2,8,66,54,1.4166666666666667,0.0,1.4,1.2127659574468086,1.5,1.8666666666666667,0.5,1.0,1.5,1.5925925925925926
16,SR Tendulkar,38,15,48,15,14,9,23,2,54,1,21.9,31,12,28,18,12,10,13,6,47,3,1.2258064516129032,1.25,1.7142857142857142,0.8333333333333334,1.1666666666666667,0.9,1.7692307692307692,0.3333333333333333,1.148936170212766,0.3333333333333333
17,V Pratap Singh,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AA Jhunjhunwala,19,1,4,0,10,13,22,11,7,2,8.9,20,1,5,3,14,22,22,8,4,5,0.95,1.0,0.8,0.0,0.7142857142857143,0.5909090909090909,1.0,1.375,1.75,0.4
19,DJ Bravo,12,1,1,8,0,1,23,4,20,0,7.0,11,1,1,5,1,1,8,2,8,1,1.0909090909090908,1.0,1.0,1.6,0.0,1.0,2.875,2.0,2.5,0.0
20,F du Plessis,28,71,55,65,45,44,17,62,84,62,53.3,19,47,44,41,32,40,7,39,56,33,1.4736842105263157,1.5106382978723405,1.25,1.5853658536585367,1.40625,1.1,2.4285714285714284,1.5897435897435896,1.5,1.878787878787879
21,JA Morkel,16,8,5,73,1,16,15,7,6,10,15.7,9,8,2,55,1,8,14,13,5,10,1.7777777777777777,1.0,2.5,1.3272727272727274,1.0,2.0,1.0714285714285714,0.5384615384615384,1.2,1.0
22,KC Sangakkara,3,23,8,21,4,2,28,16,15,15,13.5,9,24,14,21,4,3,28,17,16,22,0.3333333333333333,0.9583333333333334,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,0.9411764705882353,0.9375,0.6818181818181818
23,M Vijay,10,21,1,26,26,38,12,59,16,6,21.5,15,21,7,26,26,35,10,41,8,12,0.6666666666666666,1.0,0.14285714285714285,1.0,1.0,1.0857142857142856,1.2,1.4390243902439024,2.0,0.5
24,MS Dhoni,0,1,5,2,20,2,13,2,1,32,7.8,1,2,4,3,9,3,4,3,1,17,0.0,0.5,1.25,0.6666666666666666,2.2222222222222223,0.6666666666666666,3.25,0.6666666666666666,1.0,1.8823529411764706
25,RA Jadeja,15,22,20,20,21,12,23,18,10,25,18.6,6,16,7,24,16,10,15,8,8,15,2.5,1.375,2.857142857142857,0.8333333333333334,1.3125,1.2,1.5333333333333334,2.25,1.25,1.6666666666666667
26,S Badrinath,0,0,34,6,34,34,16,47,1,1,17.3,3,3,30,13,26,29,16,39,1,1,0.0,0.0,1.1333333333333333,0.46153846153846156,1.3076923076923077,1.1724137931034482,1.0,1.205128205128205,1.0,1.0
27,SK Raina,17,4,11,2,3,2,17,24,18,8,10.6,10,6,7,3,5,4,15,18,15,9,1.7,0.6666666666666666,1.5714285714285714,0.6666666666666666,0.6,0.5,1.1333333333333333,1.3333333333333333,1.2,0.8888888888888888
28,Azhar Mahmood,6,80,61,9,2,9,0,4,0,23,19.4,7,44,41,13,7,13,4,4,1,20,0.8571428571428571,1.8181818181818181,1.4878048780487805,0.6923076923076923,0.2857142857142857,0.6923076923076923,0.0,1.0,0.0,1.15
29,DA Miller,4,6,7,41,21,0,32,46,6,46,20.9,6,7,5,26,12,3,18,22,12,30,0.6666666666666666,0.8571428571428571,1.4,1.5769230769230769,1.75,0.0,1.7777777777777777,2.090909090909091,0.5,1.5333333333333334
30,DJ Harris,30,47,19,15,0,0,0,0,0,0,27.75,25,41,17,14,0,0,0,0,0,0,1.2,1.146341463414634,1.1176470588235294,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
31,DJ Hussey,1,40,50,25,13,20,1,22,34,21,22.7,3,29,33,29,14,21,3,16,18,20,0.3333333333333333,1.3793103448275863,1.5151515151515151,0.8620689655172413,0.9285714285714286,0.9523809523809523,0.3333333333333333,1.375,1.8888888888888888,1.05
32,J Theron,1,7,2,0,0,0,0,0,0,0,2.5,1,6,4,1,0,0,0,0,0,0,1.0,1.1666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Mandeep Singh,12,0,2,0,18,0,15,6,0,0,5.3,11,1,4,5,16,2,14,6,1,1,1.0909090909090908,0.0,0.5,0.0,1.125,0.0,1.0714285714285714,1.0,0.0,0.0
34,N Saini,1,15,3,2,2,50,6,17,30,14,14.0,4,15,10,4,9,36,4,22,25,12,0.25,1.0,0.3,0.5,0.2222222222222222,1.3888888888888888,1.5,0.7727272727272727,1.2,1.1666666666666667
