,striker,match_id,runs_off_bat,balls,season,start_date,venue
0,A Ashish Reddy,548346,10,10,2012,2012-04-29,Wankhede Stadium
232,A Mishra,548346,1,6,2012,2012-04-29,Wankhede Stadium
464,AT Rayudu,548346,19,15,2012,2012-04-29,Wankhede Stadium
696,B Chipli,548346,1,3,2012,2012-04-29,Wankhede Stadium
928,CL White,548346,0,1,2012,2012-04-29,Wankhede Stadium
1160,DT Christian,548346,5,5,2012,2012-04-29,Wankhede Stadium
1392,DW Steyn,548346,3,5,2012,2012-04-29,Wankhede Stadium
1624,IR Jaggi,548346,2,7,2012,2012-04-29,Wankhede Stadium
1856,JEC Franklin,548346,13,20,2012,2012-04-29,Wankhede Stadium
2088,JP Duminy,548346,25,24,2012,2012-04-29,Wankhede Stadium
2320,KD Karthik,548346,2,6,2012,2012-04-29,Wankhede Stadium
2552,PA Patel,548346,19,18,2012,2012-04-29,Wankhede Stadium
2784,RE Levi,548346,0,1,2012,2012-04-29,Wankhede Stadium
3016,RG Sharma,548346,42,48,2012,2012-04-29,Wankhede Stadium
3248,RJ Peterson,548346,1,4,2012,2012-04-29,Wankhede Stadium
3480,S Dhawan,548346,29,32,2012,2012-04-29,Wankhede Stadium
3712,SR Tendulkar,548346,14,14,2012,2012-04-29,Wankhede Stadium
3944,V Pratap Singh,548346,0,1,2012,2012-04-29,Wankhede Stadium
4176,A Ashish Reddy,548352,3,3,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
4421,AA Jhunjhunwala,548352,1,1,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
4666,CL White,548352,77,53,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
4911,DJ Bravo,548352,12,4,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
5156,DT Christian,548352,27,24,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
5401,F du Plessis,548352,42,35,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
5646,JA Morkel,548352,13,9,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
5891,KC Sangakkara,548352,1,5,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
6136,M Vijay,548352,14,11,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
6381,MS Dhoni,548352,34,28,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
6626,PA Patel,548352,1,5,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
6871,RA Jadeja,548352,4,9,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
7116,S Badrinath,548352,1,1,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
7361,S Dhawan,548352,36,29,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
7606,SK Raina,548352,32,24,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk"
7851,A Ashish Reddy,548359,8,8,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
8097,A Mishra,548359,8,5,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
8343,AA Jhunjhunwala,548359,19,20,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
8589,Azhar Mahmood,548359,14,9,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
8835,CL White,548359,8,14,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
9081,DA Miller,548359,28,18,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
9327,DJ Harris,548359,30,25,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal"
